Signal,Metric,LSTM_results_four_opt.csv_Value,LSTM_results_combined.csv_Value,Improvement,Pct_Change
Signal_1,Timeliness_NonBH,0.1127492877492877,0.1276780626780626,0.014928774928774882,13.240682248894467
Signal_1,Sensitivity_NonBH,0.7562189054726368,0.7114427860696517,-0.04477611940298509,-5.92105263157895
Signal_1,Specificity_All,0.9803771661569828,0.9700560652395516,-0.010321100917431214,-1.0527683909539922
Signal_1,POD_All,1.0,1.0,0.0,0.0
Signal_1,Threshold_All,0.7,0.1,-0.6,-85.71428571428572
Signal_1,Sensitivity_All,0.7562189054726368,0.7114427860696517,-0.04477611940298509,-5.92105263157895
Signal_1,POD_NonBH,1.0,1.0,0.0,0.0
Signal_1,Threshold_NonBH,0.7,0.1,-0.6,-85.71428571428572
Signal_1,Timeliness_All,0.1127492877492877,0.1276780626780626,0.014928774928774882,13.240682248894467
Signal_1,Specificity_NonBH,0.9803771661569828,0.9700560652395516,-0.010321100917431214,-1.0527683909539922
Signal_10,Timeliness_NonBH,0.2019220779220779,0.2026493506493506,0.0007272727272727153,0.36017494211473555
Signal_10,Sensitivity_NonBH,0.6768802228412256,0.7047353760445683,0.027855153203342642,4.115226337448563
Signal_10,Specificity_All,0.9785831960461284,0.954124952477506,-0.024458243568622473,-2.499352499352499
Signal_10,POD_All,1.0,1.0,0.0,0.0
Signal_10,Threshold_All,0.7,0.1,-0.6,-85.71428571428572
Signal_10,Sensitivity_All,0.6768802228412256,0.7047353760445683,0.027855153203342642,4.115226337448563
Signal_10,POD_NonBH,1.0,1.0,0.0,0.0
Signal_10,Threshold_NonBH,0.7,0.1,-0.6,-85.71428571428572
Signal_10,Timeliness_All,0.2019220779220779,0.2026493506493506,0.0007272727272727153,0.36017494211473555
Signal_10,Specificity_NonBH,0.9785831960461284,0.954124952477506,-0.024458243568622473,-2.499352499352499
Signal_11,Timeliness_NonBH,0.4064444444444444,0.156,-0.25044444444444436,-61.618370694368494
Signal_11,Sensitivity_NonBH,0.5294117647058824,0.8181818181818182,0.2887700534759359,54.545454545454554
Signal_11,Specificity_All,0.972342800446484,0.9332754557856876,-0.03906734466079642,-4.017857142857162
Signal_11,POD_All,0.84,1.0,0.16000000000000003,19.04761904761905
Signal_11,Threshold_All,0.95,0.05,-0.8999999999999999,-94.73684210526315
Signal_11,Sensitivity_All,0.5294117647058824,0.8181818181818182,0.2887700534759359,54.545454545454554
Signal_11,POD_NonBH,0.84,1.0,0.16000000000000003,19.04761904761905
Signal_11,Threshold_NonBH,0.95,0.05,-0.8999999999999999,-94.73684210526315
Signal_11,Timeliness_All,0.4064444444444444,0.156,-0.25044444444444436,-61.618370694368494
Signal_11,Specificity_NonBH,0.972342800446484,0.9332754557856876,-0.03906734466079642,-4.017857142857162
Signal_12,Timeliness_NonBH,0.0732442332442332,0.0409058509058508,-0.0323383823383824,-44.15143814878903
Signal_12,Sensitivity_NonBH,0.6724137931034483,0.8218390804597702,0.14942528735632188,22.222222222222225
Signal_12,Specificity_All,0.9805900621118012,0.903726708074534,-0.07686335403726718,-7.838479809976258
Signal_12,POD_All,1.0,1.0,0.0,0.0
Signal_12,Threshold_All,0.85,0.05,-0.7999999999999999,-94.11764705882352
Signal_12,Sensitivity_All,0.6724137931034483,0.8218390804597702,0.14942528735632188,22.222222222222225
Signal_12,POD_NonBH,1.0,1.0,0.0,0.0
Signal_12,Threshold_NonBH,0.85,0.05,-0.7999999999999999,-94.11764705882352
Signal_12,Timeliness_All,0.0732442332442332,0.0409058509058508,-0.0323383823383824,-44.15143814878903
Signal_12,Specificity_NonBH,0.9805900621118012,0.903726708074534,-0.07686335403726718,-7.838479809976258
Signal_13,Timeliness_NonBH,0.0743019943019942,0.0725925925925925,-0.0017094017094017033,-2.3006134969325105
Signal_13,Sensitivity_NonBH,0.8130841121495327,0.7967289719626168,-0.016355140186915862,-2.01149425287356
Signal_13,Specificity_All,0.9845308105343902,0.9506520071592944,-0.033878803375095745,-3.4411115439553166
Signal_13,POD_All,1.0,1.0,0.0,0.0
Signal_13,Threshold_All,0.95,0.2,-0.75,-78.94736842105263
Signal_13,Sensitivity_All,0.8130841121495327,0.7967289719626168,-0.016355140186915862,-2.01149425287356
Signal_13,POD_NonBH,1.0,1.0,0.0,0.0
Signal_13,Threshold_NonBH,0.95,0.2,-0.75,-78.94736842105263
Signal_13,Timeliness_All,0.0743019943019942,0.0725925925925925,-0.0017094017094017033,-2.3006134969325105
Signal_13,Specificity_NonBH,0.9845308105343902,0.9506520071592944,-0.033878803375095745,-3.4411115439553166
Signal_14,Timeliness_NonBH,0.1148972323972323,0.1148972323972323,0.0,0.0
Signal_14,Sensitivity_NonBH,0.9016949152542372,0.9016949152542372,0.0,0.0
Signal_14,Specificity_All,0.9796354494028912,0.9797611565053426,0.00012570710245141115,0.012832028743756907
Signal_14,POD_All,1.0,1.0,0.0,0.0
Signal_14,Threshold_All,0.95,0.15,-0.7999999999999999,-84.21052631578947
Signal_14,Sensitivity_All,0.9016949152542372,0.9016949152542372,0.0,0.0
Signal_14,POD_NonBH,1.0,1.0,0.0,0.0
Signal_14,Threshold_NonBH,0.95,0.15,-0.7999999999999999,-84.21052631578947
Signal_14,Timeliness_All,0.1148972323972323,0.1148972323972323,0.0,0.0
Signal_14,Specificity_NonBH,0.9796354494028912,0.9797611565053426,0.00012570710245141115,0.012832028743756907
Signal_15,Timeliness_NonBH,0.2669281644281644,0.2182834757834758,-0.04864468864468863,-18.223887594963724
